序号,昵称,"Week24
85,柠檬（移除）,,,,,《反脆弱》,《走出剧情》,《卡片笔记》,《走出剧情》,《卡片笔记写作法》,《小狗钱钱》,"《不原谅也没关系》
《基层女性》
《小狗钱钱》",,《日常生活的自我呈现》,,"《她弥留之际》
《日常生活中的自我呈现》",,,,,,,,,,,,,,,,
86,山客,《早安，怪物》,《与神对话1》,,《做绘本的人》,《多谢不阅》,《费曼学习法》,,《心理咨询与治疗的理论及实践》,《3秒》,《心理咨询与治疗的理论及实践》,,《东京贫困女子》,《关于女儿》,,《空气吉他》,,,,,,,,,,,,,,,,
88,张张,《雨后大地》,《三千佛塔烟云下》,《龙王之怒》,,《从理想主义到经验主义》,"《笔耕与新耕》
《她们赢了，然后呢》
《天地九重》",,《中亚行纪》,《红星照耀中国》,"《职场之道》
《麦肯锡结构化战略思维》","《以日为鉴》
《追问》",《我重新出生的地方》,《学会提问，驾驭AI》,《不消费的一年》,,,,,,,,,,,,,,,,,
89,煜煜生慧（退群）,,,,,,《幸福之路》,,《张居正》,,,《在峡江的转弯处》,,,《从零开始的女性主义》,,,,,,,,,,,,,,,,,
90,Tina,,《长女病》,《暗处的女儿》,《被遗弃的日子》,《同学少年都不贱》,"《我的天才女友》
《新名字的故事》
《离开的，留下的》
《失踪的孩子》",《呼啸山庄》,《记忆的性别》,"《竹林姐妹》
《她一个人也很完整》
《变化的位面》",《记忆与认同》,"《脐带纪事》
《一个女人的故事》
《她们的西南联大岁月》",《烦人的爱》,"《少女中国》
《钟形罩》
《进烤箱的好日子》",,,,,,,,,,,,,,,,,,
91,miku,《卡拉马佐夫兄弟》,"《妖精配给公司》
《向坐着的人指控爱情》",,"《河的第三条岸》
《克拉克森的农场》
《她厌男，她是我女友》",《她厌3》,,《周四推理俱乐部》,,"《以日为鉴》
《如果我们无法以光速前行 》",《乞力马扎罗的雪》,,"《工作、消费主义和新穷人》
《进烤箱的好日子》","《黄油》
《油炸绿番茄》",,,,,,,,,,,,,,,,,,
92,Christine,,《怀旧的未来》,,《我无所畏惧：拯救埃及神庙的女考古学家》,,《命若朝霜》,,,,《身体的谎言》,,"《莉莉亚娜不可战胜的夏天》
《娜拉在中国》",《无薪主妇》,,,,,,,,,,,,,,,,,,
93,伊唯熙,《在中国大地上》,,,《细雪》,,《迈克尔·K的人生与时代》,,,"《占据》
《她来自马里乌波尔》",,《一个女人的故事》,,,,,,,,,,,,,,,,,,,,
94,崽:),《我的痛苦有名字吗》,,,《women and Russia》,,《chasing homer》,"《how we survived commuism and even laughed》
《globalization after the pandemic》
《八千湘女上天山》",,《永远的爱犬》,《鸿：三代中国女人的故事》,"《娜拉出走以后》
《Nobody's girl》",,,,,,,,,,,,,,,,,,,,
95,小明,《白鹿原》,,《呼兰河传》,,《倦怠社会》,,《她穿过风暴》,,《卡拉马佐夫斯基》,,《生育制度》,,,,,,,,,,,,,,,,,,,,
96,蔚天青（移除）,,,,《洗澡》,,,《置身事内》,,《江村经济》,,《金蔷薇》,,,,,,,,,,,,,,,,,,,,
97,F.,"《快乐的死》
《燃烧的秘密》
《某种微笑》
《一月后，一年后》
《你喜欢勃拉姆斯吗》
《你好，忧愁》
《狂乱》
《陆地的尽头，是海洋的开始》
《梦宫》","《火车梦》
《乌发碧眼》
《侦破我的命案》
《病隙碎笔》
《冬日笔记》
《葡萄牙的高山》","《约瑟夫·鲁兰的人生》
《波伏瓦访谈录》","《自己的房子》
《今和次郎/考现与采集》
《我不想知道的事》","《我给了你眼睛，你却望向迷雾》
《页边和听写》
《暗河》
《生活的代价》
《烦人的爱》","《进烤箱的好日子》
《我母亲的母亲》","《黄色墙纸》
《最初的爱情，最后的仪式》","《破碎的四月》
《我的青春之城》
《窄门》","《亲爱的波伏娃》
《活山》
《不宽恕者迷宫》","《一个阿富汗女人的来信》
《缝纫机与金鱼》
《新首尔乐园软糖嘉年华》
《出走的娜拉》
《大雪降至》
《隐形墨水》",《坐在走廊的男人》,,,,,,,,,,,,,,,,,,,,
98,若相惜（请假？）,,,"《献灯使》
《低智商犯罪》
《她对此感到厌烦》",《索拉里斯星》,《红楼梦》,,,"《我的忐忑人生》
《冬牧场》","《你的夏天还好吗？》
《紫颜色》","《进烤箱的好日子》
《啸风山庄》",,,,,,,,,,,,,,,,,,,,,
99,十四亿分之一,《苔丝》,,《暴风骤雨》,,,《李有才板话》,《小二黑结婚》,,《春桃》,,,,,,,,,,,,,,,,,,,,,,
102,xxxxy,,《霍乱时期的爱情》,《厌女》,,《厌女》,,《我的天才女友》,,,,,,,,,,,,,,,,,,,,,,,,
103,Y（移除）,,,,,,《一间自己的房间》,《我的天才女友》,《给青年人的哲学十二讲》,,,,,,,,,,,,,,,,,,,,,,,
104,焦糖南瓜,《窄门》,,"《波伏瓦访谈录》
《东京八平米》",《北京法源寺》,,"《有且仅有》
《简单的激情》
《残虐记》
《明亮的夜晚》",,,,,,,,,,,,,,,,,,,,,,,,,
105,小小苏（移除）,,,,《了凡四训》,,"《康熙的红票》
《超越百岁》",,,,,,,,,,,,,,,,,,,,,,,,,
107,grey（退群）,,,,,,《中年之路》,《鹅之书》,,,,,,,,,,,,,,,,,,,,,,,,
109,HUI,《大明王朝1566》,,《小狗钱钱》,"《那不勒斯四部曲》
《黄金时代》",,《冬牧场》,《明亮的夜晚》,,,,,,,,,,,,,,,,,,,,,,,,
110,罗西,"《单身女性》
《她们何如逝去》
《谋杀启示》
《每一句话语都坐着别的眼睛》","《阁楼上的疯女人》
《伊加利亚的女儿们》
《团宠锦鲤三岁半》
《梦珂》",《阁楼上的疯女人》,"《是谁把世界糟蹋成这样》
《阁楼上的疯女人》","《母女关系的精神分析》
《刚刚离开的世界》
《神谕女士》","《形影不离》
《生活中无处不在的男性优先主义》",,,,,,,,,,,,,,,,,,,,,,,,,
111,樹,《野草在唱歌》,《盲刺客》,《抵挡太平洋的堤坝》,《女宾》,《进烤箱的好日子》,《钟形罩》,,,,,,,,,,,,,,,,,,,,,,,,,
112,OoO,,《暗处的女儿》,,《暗处的女儿》,《学习之道》,"《萤火虫小巷》
《荣格自传》",,,,,,,,,,,,,,,,,,,,,,,,,
113,吉祥如伊（移除）,,,,,,《面纱》,,,,,,,,,,,,,,,,,,,,,,,,,
114,昭昭,"《暗处的女儿》
《我离开以后》",,,"《桶川跟踪狂杀人事件》
《我们没有秘密》
《月球城市》","《猫舔过伤口》
《走出剧情》
《东京八平米》
《红发安妮》",《刀锋之心》,,,,,,,,,,,,,,,,,,,,,,,,,
115,小五,,《献给阿尔吉列侬的花束》,,《人类简史》,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,^^,《大地上我们转瞬即逝的灿烂》,,《这里是亚美子》,《生命式》,《69》,,,,,,,,,,,,,,,,,,,,,,,,,,
117,一橙,,《不要因为走得太远而忘记为什么出发》,,,《亲密陷阱》,,,,,,,,,,,,,,,,,,,,,,,,,,
118,null,,《黑夜的狂欢》,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,尖尖,"
《伊加利亚的女儿们》
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,Double,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,lea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,野荚蒾,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,卷子粉粹机,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,Angel Y.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,热带雨夜,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,Lalalalala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,sunny,"《生命未被理解的真相》
《伊万·伊利奇之死》",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
